Language, Program, PowerLimit, PSys, Package, Core, GPU, DRAM, Time(ms), User Time, System Time, Temperature, Memory, Perf
C, regex-redux, -1,  23.54, 13.98, 13.77, 0.00, 0.58, 695, 1755, 82, 36.2, , 1
C, regex-redux, -1,  23.47, 13.98, 13.77, 0.00, 0.58, 697, 1757, 83, 40.0, , 1
C, regex-redux, -1,  23.27, 13.96, 13.74, 0.00, 0.58, 696, 1759, 80, 36.8, , 1
C, regex-redux, -1,  23.54, 14.05, 13.84, 0.00, 0.58, 697, 1757, 76, 40.0, , 1
C, regex-redux, -1,  23.49, 13.94, 13.73, 0.00, 0.58, 695, 1752, 85, 36.8, , 1
C, regex-redux, -1,  23.34, 14.02, 13.79, 0.00, 0.57, 696, 1765, 74, 40.2, , 1
C, reverse-complement, -1,  2.78, 1.34, 1.30, 0.00, 0.16, 105, 67, 87, 36.2, , 1
C, reverse-complement, -1,  2.80, 1.36, 1.31, 0.00, 0.16, 105, 69, 84, 36.2, , 1
C, reverse-complement, -1,  2.78, 1.34, 1.29, 0.00, 0.16, 104, 67, 84, 36.2, , 1
C, reverse-complement, -1,  2.75, 1.34, 1.29, 0.00, 0.16, 103, 67, 85, 36.2, , 1
C, reverse-complement, -1,  2.76, 1.34, 1.29, 0.00, 0.15, 103, 64, 87, 36.2, , 1
C, reverse-complement, -1,  2.75, 1.34, 1.30, 0.00, 0.16, 103, 71, 80, 36.2, , 1
C, reverse-complement, -1,  2.75, 1.35, 1.30, 0.00, 0.16, 103, 67, 84, 36.2, , 1
C, reverse-complement, -1,  2.78, 1.35, 1.31, 0.00, 0.16, 105, 66, 87, 40.5, , 1
C, reverse-complement, -1,  2.83, 1.37, 1.33, 0.00, 0.16, 106, 74, 84, 36.2, , 1
C, reverse-complement, -1,  2.71, 1.33, 1.29, 0.00, 0.15, 102, 64, 86, 36.2, , 1
C, reverse-complement, -1,  2.74, 1.34, 1.30, 0.00, 0.16, 104, 62, 89, 36.2, , 1
C, reverse-complement, -1,  2.74, 1.35, 1.30, 0.00, 0.16, 103, 66, 85, 36.2, , 1
C, reverse-complement, -1,  2.77, 1.36, 1.31, 0.00, 0.15, 103, 69, 82, 36.2, , 1
C, reverse-complement, -1,  2.72, 1.34, 1.30, 0.00, 0.15, 103, 58, 93, 36.2, , 1
C, reverse-complement, -1,  2.72, 1.34, 1.29, 0.00, 0.15, 102, 68, 82, 36.2, , 1
C, reverse-complement, -1,  2.74, 1.34, 1.29, 0.00, 0.15, 103, 68, 83, 40.5, , 1
C, reverse-complement, -1,  2.75, 1.36, 1.31, 0.00, 0.16, 104, 66, 85, 36.2, , 1
C, reverse-complement, -1,  2.73, 1.33, 1.29, 0.00, 0.15, 103, 65, 85, 36.2, , 1
C, reverse-complement, -1,  2.75, 1.34, 1.30, 0.00, 0.16, 104, 71, 83, 36.2, , 1
C, reverse-complement, -1,  2.72, 1.34, 1.29, 0.00, 0.15, 103, 63, 87, 36.2, , 1
C, spectral-norm, -1,  12.85, 8.54, 8.45, 0.00, 0.16, 306, 1223, 0, 36.5, , 1
C, spectral-norm, -1,  12.86, 8.54, 8.45, 0.00, 0.16, 305, 1219, 0, 36.5, , 1
C, spectral-norm, -1,  12.88, 8.54, 8.45, 0.00, 0.16, 306, 1220, 1, 36.5, , 1
C, spectral-norm, -1,  12.83, 8.50, 8.42, 0.00, 0.16, 306, 1222, 0, 36.0, , 1
C, spectral-norm, -1,  12.86, 8.50, 8.43, 0.00, 0.16, 306, 1221, 1, 36.0, , 1
C, spectral-norm, -1,  12.88, 8.57, 8.48, 0.00, 0.16, 306, 1222, 0, 43.5, , 1
C, spectral-norm, -1,  12.79, 8.49, 8.41, 0.00, 0.16, 306, 1220, 1, 36.5, , 1
C, spectral-norm, -1,  12.85, 8.53, 8.45, 0.00, 0.16, 306, 1220, 1, 36.5, , 1
C, spectral-norm, -1,  13.04, 8.62, 8.54, 0.00, 0.16, 309, 1230, 0, 44.0, , 1
C, spectral-norm, -1,  12.80, 8.49, 8.42, 0.00, 0.16, 306, 1221, 0, 36.5, , 1
C, spectral-norm, -1,  12.85, 8.53, 8.45, 0.00, 0.15, 305, 1220, 1220, 36.5, , 1
C, spectral-norm, -1,  12.84, 8.52, 8.44, 0.00, 0.16, 306, 1219, 0, 43.0, , 1
C, spectral-norm, -1,  12.74, 8.46, 8.39, 0.00, 0.15, 305, 1217, 1, 36.8, , 1
C, spectral-norm, -1,  12.81, 8.50, 8.41, 0.00, 0.16, 305, 1218, 0, 36.8, , 1
C, spectral-norm, -1,  12.85, 8.55, 8.47, 0.00, 0.16, 306, 1222, 1222, 43.5, , 1
C, spectral-norm, -1,  12.80, 8.49, 8.41, 0.00, 0.16, 305, 1219, 0, 36.5, , 1
C, spectral-norm, -1,  12.85, 8.56, 8.48, 0.00, 0.16, 306, 1222, 1222, 36.5, , 1
C, spectral-norm, -1,  12.86, 8.54, 8.46, 0.00, 0.16, 306, 1221, 0, 43.2, , 1
C, spectral-norm, -1,  12.82, 8.48, 8.41, 0.00, 0.16, 306, 1220, 1, 36.8, , 1
